Model,Year,Region,Color,Fuel_Type,Transmission,Engine_Size_L,Mileage_KM,Price_USD,Sales_Volume,Sales_Classification,Revenue
3 Series,2022,South America,Red,Electric,Automatic,3.6,68978,107968,4129,Low,445799872
3 Series,2023,Asia,Grey,Diesel,Manual,2.4,58991,84635,3507,Low,296814945
X5,2022,Africa,White,Electric,Automatic,3.7,123227,72436,5761,Low,417303796
i3,2024,Middle East,Blue,Diesel,Manual,1.6,17798,93997,6920,Low,650459240
5 Series,2020,South America,Blue,Electric,Manual,1.8,18642,53862,6897,Low,371486214
X3,2022,Africa,Black,Petrol,Manual,1.8,10590,105924,5139,Low,544343436
X3,2022,Europe,Black,Petrol,Manual,2.7,197678,49919,491,Low,24510229
X5,2020,Europe,Blue,Diesel,Manual,4.1,127392,86328,8960,High,773498880
X1,2021,South America,Grey,Diesel,Automatic,3.0,37616,79927,1057,Low,84482839
M5,2019,Europe,Red,Petrol,Automatic,3.5,46076,38271,6150,Low,235366650
X3,2022,North America,Grey,Electric,Manual,2.7,21607,74435,9536,High,709812160
X3,2023,Asia,Blue,Petrol,Automatic,2.9,87564,103988,5141,Low,534602308
M3,2018,Asia,Silver,Electric,Manual,4.5,66023,73953,1659,Low,122688027
X3,2021,Asia,Grey,Hybrid,Manual,4.5,122956,53097,1474,Low,78264978
X6,2021,South America,Blue,Petrol,Automatic,3.5,27659,60936,2428,Low,147952608
3 Series,2021,Asia,White,Hybrid,Manual,3.8,157700,87186,5065,Low,441597090
5 Series,2021,Asia,Black,Diesel,Automatic,3.5,133836,38861,9087,High,353129907
X1,2023,Asia,White,Hybrid,Automatic,3.4,84606,89868,3445,Low,309595260
X5,2023,Asia,Silver,Electric,Automatic,1.9,34635,87087,3372,Low,293657364
i8,2020,North America,Blue,Electric,Manual,4.3,191305,70057,7327,High,513307639
X3,2019,Middle East,Grey,Electric,Manual,4.2,17934,111173,808,Low,89827784
X1,2021,North America,Grey,Petrol,Automatic,2.2,184417,76909,6636,Low,510368124
7 Series,2018,Asia,Red,Hybrid,Manual,2.5,31798,58752,3606,Low,211859712
X1,2023,Asia,Silver,Petrol,Manual,3.3,66862,80705,7058,High,569615890
i8,2018,Asia,Red,Petrol,Manual,2.1,61031,116846,6121,Low,715214366
X6,2020,South America,Blue,Diesel,Automatic,2.4,135437,114860,9792,High,1124709120
X5,2023,North America,Blue,Hybrid,Manual,4.0,83959,43850,9612,High,421486200
7 Series,2018,Africa,Silver,Electric,Manual,4.5,198286,96859,8022,High,777002898
M5,2022,North America,Black,Petrol,Automatic,3.5,56293,58700,249,Low,14616300
X3,2018,Africa,Silver,Hybrid,Automatic,1.6,60574,62253,7350,High,457559550
5 Series,2020,Europe,Blue,Diesel,Manual,3.2,165669,38170,9239,High,352652630
X1,2018,Africa,White,Petrol,Automatic,4.5,104441,79035,1036,Low,81880260
3 Series,2023,South America,White,Petrol,Automatic,2.1,190846,56836,5315,Low,302083340
i8,2019,Africa,Silver,Hybrid,Manual,2.3,187214,31212,3778,Low,117918936
3 Series,2021,South America,Black,Electric,Automatic,2.0,162323,72641,4298,Low,312211018
M3,2024,Africa,White,Hybrid,Manual,1.8,2655,91248,8772,High,800427456
X3,2020,Asia,Silver,Hybrid,Manual,1.7,66746,113110,3430,Low,387967300
X1,2018,Asia,Black,Hybrid,Manual,3.9,13275,79969,9134,High,730436846
X5,2023,South America,White,Diesel,Manual,2.3,162977,31112,2466,Low,76722192
X1,2019,Europe,White,Hybrid,Automatic,3.3,106294,102607,7920,High,812647440
M3,2021,Asia,Blue,Diesel,Automatic,3.1,139850,34852,2275,Low,79288300
7 Series,2023,Asia,Blue,Diesel,Automatic,2.3,52061,96938,1714,Low,166151732
M3,2020,South America,Grey,Petrol,Manual,2.2,154481,100103,9122,High,913139566
M5,2021,South America,Black,Electric,Manual,3.6,50949,40782,6688,Low,272750016
3 Series,2023,Africa,Black,Petrol,Manual,4.6,95366,101460,3182,Low,322845720
i3,2021,Europe,White,Hybrid,Automatic,1.7,129001,105938,3288,Low,348324144
X3,2019,South America,Red,Electric,Manual,3.8,171481,42383,7041,High,298418703
3 Series,2020,South America,Grey,Diesel,Manual,4.0,175591,64007,7793,High,498806551
X6,2020,Asia,Black,Hybrid,Automatic,3.8,45712,90061,4643,Low,418153223
i3,2024,South America,White,Hybrid,Automatic,4.5,57231,47994,1675,Low,80389950
3 Series,2020,Middle East,Red,Petrol,Manual,4.5,105037,73453,7286,High,535178558
i3,2024,South America,Blue,Hybrid,Manual,1.6,128016,107658,9124,High,982271592
X6,2018,South America,Grey,Diesel,Manual,2.6,40764,116735,4709,Low,549705115
i3,2021,Europe,Silver,Hybrid,Automatic,3.3,24238,111742,1482,Low,165601644
M5,2020,Africa,Grey,Petrol,Automatic,2.0,195911,64700,3134,Low,202769800
3 Series,2022,Middle East,Silver,Petrol,Automatic,4.1,116572,47284,3730,Low,176369320
3 Series,2021,South America,Grey,Hybrid,Automatic,2.1,37246,112265,5726,Low,642829390
7 Series,2020,Asia,White,Petrol,Automatic,2.6,188234,71570,3284,Low,235035880
M5,2019,Asia,Blue,Hybrid,Automatic,4.7,164678,49840,1883,Low,93848720
X1,2024,Europe,Grey,Diesel,Manual,4.0,87263,71666,8913,High,638759058
i3,2018,Africa,Blue,Diesel,Manual,4.1,180348,46141,8132,High,375218612
X1,2020,Europe,Grey,Petrol,Automatic,5.0,64144,39207,4488,Low,175961016
5 Series,2021,North America,Blue,Hybrid,Automatic,3.6,166252,52030,1849,Low,96203470
X5,2018,Asia,Black,Petrol,Manual,4.5,106246,72271,6300,Low,455307300
X1,2018,Europe,Black,Petrol,Manual,1.7,25059,42749,3108,Low,132863892
i3,2024,Asia,Red,Petrol,Manual,1.9,42153,62609,897,Low,56160273
i3,2023,Europe,Grey,Hybrid,Automatic,3.2,136858,54036,3108,Low,167943888
X6,2019,Africa,Grey,Hybrid,Manual,3.0,199006,116494,9003,High,1048795482
5 Series,2021,North America,White,Petrol,Manual,4.9,128242,51552,4585,Low,236365920
7 Series,2019,North America,Silver,Hybrid,Automatic,2.5,40052,32230,4515,Low,145518450
i8,2018,Asia,Grey,Petrol,Manual,2.2,126505,92606,9586,High,887721116
i8,2021,Africa,Black,Diesel,Manual,3.8,164473,102381,9156,High,937400436
X6,2023,South America,Grey,Petrol,Automatic,2.9,167411,94959,8066,High,765939294
X5,2021,Asia,Silver,Diesel,Manual,4.2,48241,106595,5829,Low,621342255
X3,2020,South America,Silver,Hybrid,Automatic,1.7,158566,114790,2156,Low,247487240
X1,2018,Asia,Blue,Diesel,Automatic,1.8,138433,112394,5095,Low,572647430
7 Series,2018,North America,White,Diesel,Manual,4.1,30215,40062,305,Low,12218910
i8,2020,Asia,White,Hybrid,Manual,2.7,111872,34401,288,Low,9907488
X1,2023,Europe,Silver,Diesel,Manual,3.2,112416,53115,874,Low,46422510
7 Series,2023,South America,Black,Electric,Manual,2.3,179767,47128,7301,High,344081528
X5,2018,Europe,Silver,Diesel,Manual,2.9,124134,37111,4242,Low,157424862
X5,2018,Africa,Black,Electric,Manual,1.6,6634,67794,9284,High,629399496
i3,2022,North America,Black,Hybrid,Automatic,3.0,81603,115537,5387,Low,622397819
7 Series,2023,Europe,Black,Diesel,Manual,4.9,109291,30463,7111,High,216622393
X1,2022,South America,Black,Petrol,Automatic,2.3,26767,117363,642,Low,75347046
i3,2018,Africa,White,Hybrid,Automatic,4.2,27979,95982,4366,Low,419057412
M3,2023,South America,Grey,Hybrid,Manual,4.2,80410,55419,7109,High,393973671
5 Series,2021,Asia,White,Electric,Manual,1.7,21122,112462,5903,Low,663863186
i8,2020,South America,White,Hybrid,Automatic,2.5,59781,62084,4541,Low,281923444
X6,2023,Europe,White,Hybrid,Automatic,3.3,54800,100512,9966,High,1001702592
X5,2023,South America,Grey,Petrol,Manual,3.8,51128,94088,2930,Low,275677840
i8,2022,Africa,Black,Diesel,Manual,4.8,89921,41946,2452,Low,102851592
3 Series,2020,Middle East,Red,Petrol,Automatic,4.8,159467,76201,5760,Low,438917760
M3,2020,North America,Red,Hybrid,Automatic,2.9,180136,59712,6726,Low,401622912
X6,2023,Asia,Red,Diesel,Manual,4.7,32173,54649,6736,Low,368115664
M3,2021,Middle East,White,Hybrid,Manual,2.9,162609,54134,904,Low,48937136
M5,2024,Middle East,White,Hybrid,Automatic,2.1,43892,84569,4431,Low,374725239
5 Series,2021,North America,Blue,Hybrid,Manual,2.3,194391,76581,6866,Low,525805146
3 Series,2022,Middle East,Silver,Hybrid,Automatic,3.2,118028,63248,8095,High,511992560
M5,2021,North America,Silver,Diesel,Manual,3.5,52191,66769,1942,Low,129665398
5 Series,2021,Europe,Black,Electric,Automatic,4.4,82062,84946,2018,Low,171421028
5 Series,2023,South America,Red,Petrol,Manual,2.4,181200,46751,5122,Low,239458622
X1,2022,Africa,Blue,Hybrid,Automatic,2.2,16720,41380,2118,Low,87642840
M3,2023,North America,Silver,Hybrid,Manual,4.7,26402,35130,9240,High,324601200
M3,2021,South America,Grey,Diesel,Automatic,2.8,72907,31385,634,Low,19898090
5 Series,2018,South America,Blue,Diesel,Manual,3.4,96313,48896,398,Low,19460608
X3,2022,South America,Blue,Diesel,Automatic,3.1,1536,42468,9374,High,398095032
7 Series,2023,South America,Grey,Diesel,Manual,3.7,33111,102861,5453,Low,560901033
i8,2024,Africa,White,Petrol,Manual,3.8,145740,97980,6665,Low,653036700
i8,2021,South America,Grey,Diesel,Automatic,3.4,158596,31016,4938,Low,153157008
M5,2024,South America,Blue,Petrol,Manual,2.0,32207,35232,4545,Low,160129440
i8,2022,Middle East,Black,Hybrid,Manual,3.5,36421,117586,5532,Low,650485752
X5,2018,Africa,Silver,Diesel,Manual,2.0,54511,52655,7876,High,414710780
X1,2019,Asia,Black,Electric,Manual,2.9,190036,58531,7317,High,428271327
X6,2024,Middle East,White,Electric,Manual,3.8,11344,113647,1983,Low,225362001
5 Series,2019,Middle East,Silver,Petrol,Automatic,2.4,121797,100148,7231,High,724170188
i3,2023,Middle East,Black,Electric,Manual,4.2,2005,41659,1786,Low,74402974
X5,2024,Europe,Blue,Petrol,Manual,3.4,82598,113709,8047,High,915016323
X3,2024,Europe,Red,Electric,Manual,4.7,1390,119117,7270,High,865980590
i8,2020,North America,Red,Diesel,Automatic,4.1,5405,108815,2879,Low,313278385
3 Series,2019,South America,Black,Hybrid,Manual,3.9,42467,102968,2165,Low,222925720
X5,2019,Europe,Blue,Hybrid,Manual,2.5,36527,84856,2035,Low,172681960
X5,2018,Europe,Blue,Petrol,Manual,3.5,31445,62226,7616,High,473913216
3 Series,2020,South America,Silver,Diesel,Automatic,1.7,176625,117171,6688,Low,783639648
7 Series,2022,Asia,Black,Electric,Manual,3.4,157901,51785,7315,High,378807275
X3,2019,Africa,Black,Hybrid,Automatic,2.5,114886,70265,9879,High,694147935
M3,2019,Africa,White,Hybrid,Automatic,3.1,108903,58185,335,Low,19491975
7 Series,2018,Europe,Silver,Hybrid,Manual,2.9,16841,75628,8340,High,630737520
7 Series,2022,North America,Grey,Electric,Automatic,2.2,91013,89453,7795,High,697286135
7 Series,2021,Africa,Silver,Diesel,Manual,3.5,175240,82064,9362,High,768283168
i8,2019,North America,White,Petrol,Automatic,2.9,122500,96319,9080,High,874576520
7 Series,2018,Africa,Red,Electric,Automatic,2.0,176437,77426,2167,Low,167782142
7 Series,2022,North America,Grey,Electric,Automatic,3.9,166155,64742,7762,High,502527404
i8,2023,Africa,Black,Hybrid,Automatic,3.3,123239,52193,6006,Low,313471158
X5,2023,North America,Grey,Diesel,Automatic,1.5,56918,36116,3195,Low,115390620
3 Series,2021,South America,Silver,Electric,Manual,3.6,99440,51226,2119,Low,108547894
X6,2024,Europe,Silver,Hybrid,Manual,3.6,131579,36319,6496,Low,235928224
X6,2021,Africa,Grey,Petrol,Automatic,4.1,192233,32423,844,Low,27365012
X5,2024,Middle East,White,Hybrid,Automatic,4.3,78733,75419,5961,Low,449572659
X5,2018,Middle East,Red,Electric,Manual,3.8,50183,75390,8038,High,605984820
X5,2019,Middle East,Red,Hybrid,Manual,2.7,148760,93236,2693,Low,251084548
X5,2024,Africa,White,Petrol,Manual,3.3,93603,72936,2487,Low,181391832
M5,2023,South America,Silver,Diesel,Manual,4.9,140914,34553,6549,Low,226287597
3 Series,2022,Asia,Blue,Electric,Automatic,2.3,34532,90267,6372,Low,575181324
i3,2019,Middle East,Grey,Diesel,Manual,3.7,183985,107396,9192,High,987184032
X5,2019,Asia,Red,Electric,Automatic,2.0,15812,76124,4646,Low,353672104
5 Series,2019,Africa,Grey,Diesel,Manual,1.8,194310,42650,1268,Low,54080200
5 Series,2024,Europe,Red,Electric,Automatic,5.0,40963,46019,8074,High,371557406
i8,2020,Europe,Red,Diesel,Manual,3.0,93800,94038,5816,Low,546925008
X6,2021,Asia,Red,Hybrid,Manual,1.6,13086,36462,7133,High,260083446
X6,2021,Asia,White,Hybrid,Automatic,2.9,9134,45607,556,Low,25357492
M5,2021,North America,Black,Electric,Automatic,3.2,130480,52081,3272,Low,170409032
X3,2021,Europe,Silver,Electric,Automatic,2.4,64002,116500,348,Low,40542000
3 Series,2022,Africa,White,Electric,Manual,2.0,28730,101189,8196,High,829345044
M5,2023,Europe,Grey,Hybrid,Automatic,5.0,16692,99296,5943,Low,590116128
X5,2024,Europe,Black,Electric,Automatic,2.0,9615,66166,5997,Low,396797502
7 Series,2022,Africa,Black,Electric,Manual,1.8,106864,37051,8999,High,333421949
7 Series,2021,Europe,Blue,Diesel,Manual,2.1,138657,113426,2659,Low,301599734
3 Series,2019,South America,Red,Diesel,Manual,4.7,188658,103473,5921,Low,612663633
7 Series,2023,Africa,Red,Diesel,Automatic,2.1,117012,60516,4821,Low,291747636
i3,2024,North America,Black,Diesel,Manual,2.9,108780,42697,8838,High,377356086
X6,2021,Europe,White,Hybrid,Manual,4.1,57533,85638,3739,Low,320200482
X6,2019,Middle East,Blue,Electric,Automatic,3.6,179601,94664,1678,Low,158846192
X6,2019,South America,Red,Electric,Manual,2.1,111839,73514,2768,Low,203486752
5 Series,2019,Middle East,Blue,Hybrid,Automatic,4.2,98318,108742,9219,High,1002492498
M5,2023,South America,Black,Hybrid,Manual,1.6,172797,73954,5084,Low,375982136
3 Series,2024,Africa,Red,Diesel,Automatic,3.9,29725,119038,7491,High,891713658
X3,2018,South America,Red,Petrol,Automatic,5.0,61899,91730,9606,High,881158380
M3,2021,Africa,Blue,Petrol,Automatic,1.5,11430,109949,6188,Low,680364412
X3,2019,Asia,Grey,Diesel,Manual,2.6,85688,36661,9954,High,364923594
X5,2019,North America,Silver,Electric,Automatic,2.9,20462,88937,3605,Low,320617885
X3,2024,Europe,Black,Diesel,Manual,1.8,185671,93151,4711,Low,438834361
7 Series,2023,North America,Black,Electric,Automatic,2.9,183830,97853,4886,Low,478109758
X3,2018,Africa,Black,Petrol,Manual,3.3,158539,88307,4847,Low,428024029
X1,2022,North America,Silver,Diesel,Manual,4.8,142009,55139,2255,Low,124338445
M5,2022,Middle East,Blue,Petrol,Automatic,4.6,53187,81354,784,Low,63781536
7 Series,2024,Asia,Red,Hybrid,Automatic,3.4,83608,113671,5644,Low,641559124
i3,2022,South America,White,Diesel,Manual,4.0,136323,35945,4643,Low,166892635
X6,2021,Africa,White,Diesel,Automatic,4.0,60014,51230,9313,High,477104990
i8,2019,Europe,Red,Electric,Manual,3.9,128625,107973,8455,High,912911715
3 Series,2018,Africa,Red,Electric,Manual,3.7,27967,95875,6984,Low,669591000
X3,2022,Europe,Silver,Hybrid,Automatic,4.8,165231,72593,4877,Low,354036061
3 Series,2023,Asia,Red,Diesel,Manual,3.1,39466,101930,4570,Low,465820100
M5,2021,Asia,White,Electric,Manual,4.9,78179,70403,7365,High,518518095
X1,2024,South America,Silver,Petrol,Manual,4.7,160411,76189,1131,Low,86169759
X1,2023,Africa,White,Hybrid,Automatic,4.6,136514,94933,4533,Low,430331289
M3,2023,Africa,White,Electric,Manual,4.4,35796,45975,2999,Low,137879025
X3,2023,North America,Blue,Hybrid,Automatic,3.9,162596,89574,7612,High,681837288
M3,2021,Africa,White,Hybrid,Manual,2.0,1811,56208,8578,High,482152224
i3,2019,South America,White,Electric,Manual,1.6,151998,110953,6928,Low,768682384
5 Series,2019,Africa,White,Electric,Automatic,1.9,142024,30432,2607,Low,79336224
M5,2023,Middle East,Grey,Electric,Automatic,3.2,177722,90483,8800,High,796250400
X5,2023,Africa,Red,Diesel,Automatic,2.0,74612,63767,1602,Low,102154734
X1,2019,Africa,Grey,Electric,Automatic,3.9,81128,67337,6335,Low,426579895
3 Series,2019,Middle East,Silver,Electric,Manual,2.5,161578,54124,7781,High,421138844
5 Series,2024,Europe,Grey,Hybrid,Automatic,3.4,81770,62997,2680,Low,168831960
X1,2019,Africa,Red,Petrol,Automatic,4.7,91038,99809,4751,Low,474192559
5 Series,2019,Asia,Red,Hybrid,Manual,4.8,2622,113545,2723,Low,309183035
M5,2019,Europe,Black,Diesel,Manual,2.0,128785,67632,7227,High,488776464
i3,2022,Africa,Red,Hybrid,Manual,4.3,158763,39371,8106,High,319141326
X5,2021,South America,Grey,Petrol,Automatic,4.0,184282,65453,7674,High,502286322
X6,2020,Middle East,Grey,Petrol,Automatic,2.7,162403,40976,9924,High,406645824
i8,2021,Europe,Grey,Electric,Automatic,3.4,157823,114472,2087,Low,238903064
5 Series,2021,Middle East,Red,Diesel,Automatic,4.0,106679,97853,1474,Low,144235322
7 Series,2022,Africa,Black,Diesel,Automatic,4.1,56534,95164,9770,High,929752280
i8,2020,Africa,White,Electric,Manual,1.5,78999,107597,7217,High,776527549
3 Series,2021,South America,White,Hybrid,Manual,3.8,192532,33634,1187,Low,39923558
X3,2019,Europe,Red,Petrol,Manual,4.9,14205,32033,7801,High,249889433
M5,2020,Europe,Grey,Hybrid,Automatic,4.0,182203,98363,9468,High,931300884
X6,2021,Europe,Blue,Hybrid,Automatic,3.3,184003,80549,5976,Low,481360824
M5,2022,South America,White,Petrol,Manual,4.8,151188,101717,8168,High,830824456
X6,2022,North America,White,Hybrid,Automatic,3.7,172961,36829,7453,High,274486537
X6,2021,South America,Silver,Electric,Automatic,4.0,21576,58399,1110,Low,64822890
7 Series,2024,North America,Blue,Diesel,Manual,2.5,88984,94328,9831,High,927338568
i3,2023,North America,Blue,Electric,Manual,3.6,11604,104168,1755,Low,182814840
i8,2022,Asia,White,Diesel,Manual,2.9,174399,61129,1923,Low,117551067
X3,2019,South America,White,Hybrid,Manual,2.8,13828,68456,2003,Low,137117368
5 Series,2022,North America,Grey,Hybrid,Manual,3.8,121263,78058,7928,High,618843824
X3,2019,Africa,Black,Petrol,Automatic,3.3,67674,93953,3640,Low,341988920
X1,2019,North America,Blue,Petrol,Automatic,2.3,131057,65133,7081,High,461206773
i8,2019,South America,White,Petrol,Automatic,4.7,69371,31709,6458,Low,204776722
M3,2023,Europe,Red,Petrol,Automatic,1.7,159433,83009,215,Low,17846935
X5,2018,South America,Red,Electric,Manual,3.0,29294,112830,2768,Low,312313440
M5,2019,Europe,Blue,Petrol,Automatic,4.6,124983,114539,5359,Low,613814501
M5,2022,Africa,Grey,Petrol,Manual,2.6,185369,108495,197,Low,21373515
